noisy_log,clean_log,model,precision_noisy,recall_noisy,precision_clean,recall_clean,simplicity
C:\projects\python\Anda\resources\logs\Sepsis_100000_ABSENCE_10.0_4.xes,C:\projects\python\Anda\resources\logs\Sepsis_100000.xes,C:\projects\python\Anda\resources\models\Sepsis_100000_ABSENCE_10.0_4_inductive.pnml,0.3300136202011612,1.0,0.24452357380947543,1.0,96
C:\projects\python\Anda\resources\logs\BPIC2012_10000_SUBSTITUTION_4.0_3.xes,C:\projects\python\Anda\resources\logs\BPIC2012_10000.xes,C:\projects\python\Anda\resources\models\BPIC2012_10000_SUBSTITUTION_4.0_3_alpha.pnml,0.21457272529833482,0.16461655947807075,0.002673796791443861,0.1644924915551333,231
C:\projects\python\Anda\resources\logs\BPIC2012_10000_SUBSTITUTION_4.0_3.xes,C:\projects\python\Anda\resources\logs\BPIC2012_10000.xes,C:\projects\python\Anda\resources\models\BPIC2012_10000_SUBSTITUTION_4.0_3_heuristics.pnml,0.3540906073780672,0.9739453721127045,0.07495417543659844,0.9744568639058302,371
C:\projects\python\Anda\resources\logs\BPIC2012_10000_SUBSTITUTION_4.0_3.xes,C:\projects\python\Anda\resources\logs\BPIC2012_10000.xes,C:\projects\python\Anda\resources\models\BPIC2012_10000_SUBSTITUTION_4.0_3_inductive.pnml,0.09542607604410236,1.0,0.019385886568463406,1.0,477
C:\projects\python\Anda\resources\logs\BPIC2012_2000_MIXED_0.1_3.xes,C:\projects\python\Anda\resources\logs\BPIC2012_2000.xes,C:\projects\python\Anda\resources\models\BPIC2012_2000_MIXED_0.1_3_alpha.pnml,0.058808830878678275,0.5133137876549833,0.02941176470588236,0.5132612648695626,38
C:\projects\python\Anda\resources\logs\BPIC2012_2000_MIXED_0.1_3.xes,C:\projects\python\Anda\resources\logs\BPIC2012_2000.xes,C:\projects\python\Anda\resources\models\BPIC2012_2000_MIXED_0.1_3_heuristics.pnml,0.2688212993577648,0.9827865358358616,0.2582856549324424,0.9827865358358616,108
C:\projects\python\Anda\resources\logs\BPIC2012_2000_MIXED_0.1_3.xes,C:\projects\python\Anda\resources\logs\BPIC2012_2000.xes,C:\projects\python\Anda\resources\models\BPIC2012_2000_MIXED_0.1_3_inductive.pnml,0.11920111832362179,0.9675516273830006,0.11246511936926962,0.9675516273830006,138
C:\projects\python\Anda\resources\logs\Sepsis_2000_ABSENCE_0.2_2.xes,C:\projects\python\Anda\resources\logs\Sepsis_2000.xes,C:\projects\python\Anda\resources\models\Sepsis_2000_ABSENCE_0.2_2_alpha.pnml,0.44283570230422886,0.24270706323380936,0.44283570230422886,0.24270137184684742,22
C:\projects\python\Anda\resources\logs\Sepsis_2000_ABSENCE_0.2_2.xes,C:\projects\python\Anda\resources\logs\Sepsis_2000.xes,C:\projects\python\Anda\resources\models\Sepsis_2000_ABSENCE_0.2_2_heuristics.pnml,0.7208196240674984,0.9123193386983204,0.7204140085926312,0.9123220122586223,112
C:\projects\python\Anda\resources\logs\Sepsis_2000_ABSENCE_0.2_2.xes,C:\projects\python\Anda\resources\logs\Sepsis_2000.xes,C:\projects\python\Anda\resources\models\Sepsis_2000_ABSENCE_0.2_2_inductive.pnml,0.25658539059107666,1.0,0.2564306516372532,1.0,89
C:\projects\python\Anda\resources\logs\BPIC2012_1000_INSERTION_10.0_4.xes,C:\projects\python\Anda\resources\logs\BPIC2012_1000.xes,C:\projects\python\Anda\resources\models\BPIC2012_1000_INSERTION_10.0_4_alpha.pnml,0.15268810914754072,0.42892908764230747,0.007352941176470562,0.4302682603159367,91
C:\projects\python\Anda\resources\logs\BPIC2012_1000_INSERTION_10.0_4.xes,C:\projects\python\Anda\resources\logs\BPIC2012_1000.xes,C:\projects\python\Anda\resources\models\BPIC2012_1000_INSERTION_10.0_4_heuristics.pnml,0.3105915732728046,0.9852543062177551,0.15014304422848856,0.9860429265950181,188
C:\projects\python\Anda\resources\logs\BPIC2012_1000_INSERTION_10.0_4.xes,C:\projects\python\Anda\resources\logs\BPIC2012_1000.xes,C:\projects\python\Anda\resources\models\BPIC2012_1000_INSERTION_10.0_4_inductive.pnml,0.08273918616846587,0.9999454766323377,0.047246205174259814,1.0,275
C:\projects\python\Anda\resources\logs\RTFMS_20000_ABSENCE_10.0_5.xes,C:\projects\python\Anda\resources\logs\RTFMS_20000.xes,C:\projects\python\Anda\resources\models\RTFMS_20000_ABSENCE_10.0_5_alpha.pnml,1.0,0.6285397521165983,0.5,0.6299883521820822,27
C:\projects\python\Anda\resources\logs\RTFMS_20000_ABSENCE_10.0_5.xes,C:\projects\python\Anda\resources\logs\RTFMS_20000.xes,C:\projects\python\Anda\resources\models\RTFMS_20000_ABSENCE_10.0_5_heuristics.pnml,0.9970999916184728,0.934071980945157,0.6717298817125854,0.9337823264656113,63
C:\projects\python\Anda\resources\logs\RTFMS_20000_ABSENCE_10.0_5.xes,C:\projects\python\Anda\resources\logs\RTFMS_20000.xes,C:\projects\python\Anda\resources\models\RTFMS_20000_ABSENCE_10.0_5_inductive.pnml,0.5898496635556834,1.0,0.4276890981440826,1.0,41
C:\projects\python\Anda\resources\logs\Sepsis_10000_INSERTION_2.0_5.xes,C:\projects\python\Anda\resources\logs\Sepsis_10000.xes,C:\projects\python\Anda\resources\models\Sepsis_10000_INSERTION_2.0_5_alpha.pnml,0.13158919266743196,0.14876031789393235,0.033158805785973855,0.14885400271086752,119
C:\projects\python\Anda\resources\logs\Sepsis_10000_INSERTION_2.0_5.xes,C:\projects\python\Anda\resources\logs\Sepsis_10000.xes,C:\projects\python\Anda\resources\models\Sepsis_10000_INSERTION_2.0_5_heuristics.pnml,0.6526622632657233,0.8960903148406392,0.17551652998895695,0.8962205989515994,226
C:\projects\python\Anda\resources\logs\Sepsis_10000_INSERTION_2.0_5.xes,C:\projects\python\Anda\resources\logs\Sepsis_10000.xes,C:\projects\python\Anda\resources\models\Sepsis_10000_INSERTION_2.0_5_inductive.pnml,0.08867177673521742,1.0,0.044180457608054,1.0,283
C:\projects\python\Anda\resources\logs\Sepsis_40000_INSERTION_2.0_5.xes,C:\projects\python\Anda\resources\logs\Sepsis_40000.xes,C:\projects\python\Anda\resources\models\Sepsis_40000_INSERTION_2.0_5_alpha.pnml,0.11155221772969692,0.13340369623914633,0.007822685788787531,0.1334900878738005,421
C:\projects\python\Anda\resources\logs\Sepsis_40000_INSERTION_2.0_5.xes,C:\projects\python\Anda\resources\logs\Sepsis_40000.xes,C:\projects\python\Anda\resources\models\Sepsis_40000_INSERTION_2.0_5_heuristics.pnml,0.5733035885650476,0.9023249328858141,0.05203350479404545,0.9024100053332389,544
C:\projects\python\Anda\resources\logs\Sepsis_40000_INSERTION_2.0_5.xes,C:\projects\python\Anda\resources\logs\Sepsis_40000.xes,C:\projects\python\Anda\resources\models\Sepsis_40000_INSERTION_2.0_5_inductive.pnml,0.059642951629591434,1.0,0.012700222834053587,1.0,604
C:\projects\python\Anda\resources\logs\BPIC2012_1000_INSERTION_0.4_5.xes,C:\projects\python\Anda\resources\logs\BPIC2012_1000.xes,C:\projects\python\Anda\resources\models\BPIC2012_1000_INSERTION_0.4_5_alpha.pnml,0.08923457936692203,0.5156359588400987,0.0892343495083221,0.5156131848121828,36
C:\projects\python\Anda\resources\logs\BPIC2012_1000_INSERTION_0.4_5.xes,C:\projects\python\Anda\resources\logs\BPIC2012_1000.xes,C:\projects\python\Anda\resources\models\BPIC2012_1000_INSERTION_0.4_5_heuristics.pnml,0.2760029794541805,0.9844724886648853,0.27601206835981895,0.9844988521839293,113
C:\projects\python\Anda\resources\logs\BPIC2012_1000_INSERTION_0.4_5.xes,C:\projects\python\Anda\resources\logs\BPIC2012_1000.xes,C:\projects\python\Anda\resources\models\BPIC2012_1000_INSERTION_0.4_5_inductive.pnml,0.10308861165593619,0.9927750604451024,0.09872261908668911,0.9927740769443667,139
C:\projects\python\Anda\resources\logs\RTFMS_1000_ORDERING_4.0_1.xes,C:\projects\python\Anda\resources\logs\RTFMS_1000.xes,C:\projects\python\Anda\resources\models\RTFMS_1000_ORDERING_4.0_1_alpha.pnml,0.9996001599360256,0.42089759616665634,0.19999999999999996,0.4214675319773085,24
C:\projects\python\Anda\resources\logs\RTFMS_1000_ORDERING_4.0_1.xes,C:\projects\python\Anda\resources\logs\RTFMS_1000.xes,C:\projects\python\Anda\resources\models\RTFMS_1000_ORDERING_4.0_1_heuristics.pnml,0.9962863626985764,0.938325713894169,0.4865528172614787,0.9417477249293653,64
C:\projects\python\Anda\resources\logs\RTFMS_1000_ORDERING_4.0_1.xes,C:\projects\python\Anda\resources\logs\RTFMS_1000.xes,C:\projects\python\Anda\resources\models\RTFMS_1000_ORDERING_4.0_1_inductive.pnml,0.5684047131870458,1.0,0.32343385832332794,1.0,34
C:\projects\python\Anda\resources\logs\Sepsis_4000_ABSENCE_2.0_5.xes,C:\projects\python\Anda\resources\logs\Sepsis_4000.xes,C:\projects\python\Anda\resources\models\Sepsis_4000_ABSENCE_2.0_5_alpha.pnml,0.4439797490644948,0.268234755776107,0.4429921398922547,0.2683088303758883,22
C:\projects\python\Anda\resources\logs\Sepsis_4000_ABSENCE_2.0_5.xes,C:\projects\python\Anda\resources\logs\Sepsis_4000.xes,C:\projects\python\Anda\resources\models\Sepsis_4000_ABSENCE_2.0_5_heuristics.pnml,0.7750336862367662,0.8893820255530009,0.7717751890140411,0.8894386603682538,114
C:\projects\python\Anda\resources\logs\Sepsis_4000_ABSENCE_2.0_5.xes,C:\projects\python\Anda\resources\logs\Sepsis_4000.xes,C:\projects\python\Anda\resources\models\Sepsis_4000_ABSENCE_2.0_5_inductive.pnml,0.2506400611546582,1.0,0.24769257578397874,1.0,95
C:\projects\python\Anda\resources\logs\Sepsis_100000_ORDERING_0.4_2.xes,C:\projects\python\Anda\resources\logs\Sepsis_100000.xes,C:\projects\python\Anda\resources\models\Sepsis_100000_ORDERING_0.4_2_alpha.pnml,0.5595544944906002,0.17141179559577024,0.31271499155669524,0.1714139595787348,25
C:\projects\python\Anda\resources\logs\Sepsis_100000_ORDERING_0.4_2.xes,C:\projects\python\Anda\resources\logs\Sepsis_100000.xes,C:\projects\python\Anda\resources\models\Sepsis_100000_ORDERING_0.4_2_heuristics.pnml,0.7927203696039061,0.9007208463102324,0.599432100363857,0.9007716357622724,113
C:\projects\python\Anda\resources\logs\Sepsis_100000_ORDERING_0.4_2.xes,C:\projects\python\Anda\resources\logs\Sepsis_100000.xes,C:\projects\python\Anda\resources\models\Sepsis_100000_ORDERING_0.4_2_inductive.pnml,0.3632655524962536,1.0,0.2685086237944123,1.0,91
C:\projects\python\Anda\resources\logs\RTFMS_4000_SUBSTITUTION_0.2_3.xes,C:\projects\python\Anda\resources\logs\RTFMS_4000.xes,C:\projects\python\Anda\resources\models\RTFMS_4000_SUBSTITUTION_0.2_3_alpha.pnml,0.4997322193658955,0.4754434248450236,0.1428494911622924,0.4752297008785733,26
C:\projects\python\Anda\resources\logs\RTFMS_4000_SUBSTITUTION_0.2_3.xes,C:\projects\python\Anda\resources\logs\RTFMS_4000.xes,C:\projects\python\Anda\resources\models\RTFMS_4000_SUBSTITUTION_0.2_3_heuristics.pnml,0.9990208078335373,0.9329659256862957,0.4464411940623131,0.9330812124067498,73
C:\projects\python\Anda\resources\logs\RTFMS_4000_SUBSTITUTION_0.2_3.xes,C:\projects\python\Anda\resources\logs\RTFMS_4000.xes,C:\projects\python\Anda\resources\models\RTFMS_4000_SUBSTITUTION_0.2_3_inductive.pnml,0.5405260417488442,1.0,0.3322264377154306,1.0,61
C:\projects\python\Anda\resources\logs\Sepsis_4000_SUBSTITUTION_2.0_1.xes,C:\projects\python\Anda\resources\logs\Sepsis_4000.xes,C:\projects\python\Anda\resources\models\Sepsis_4000_SUBSTITUTION_2.0_1_alpha.pnml,0.1884732318475405,0.15348464896564878,0.07482746582883537,0.15314232183524196,60
C:\projects\python\Anda\resources\logs\Sepsis_4000_SUBSTITUTION_2.0_1.xes,C:\projects\python\Anda\resources\logs\Sepsis_4000.xes,C:\projects\python\Anda\resources\models\Sepsis_4000_SUBSTITUTION_2.0_1_heuristics.pnml,0.7559060579577455,0.8801996298436768,0.3049173510759954,0.8803374412092652,172
C:\projects\python\Anda\resources\logs\Sepsis_4000_SUBSTITUTION_2.0_1.xes,C:\projects\python\Anda\resources\logs\Sepsis_4000.xes,C:\projects\python\Anda\resources\models\Sepsis_4000_SUBSTITUTION_2.0_1_inductive.pnml,0.10829261772063492,1.0,0.07420091583314536,1.0,206
C:\projects\python\Anda\resources\logs\Sepsis_40000_ABSENCE_0.2_3.xes,C:\projects\python\Anda\resources\logs\Sepsis_40000.xes,C:\projects\python\Anda\resources\models\Sepsis_40000_ABSENCE_0.2_3_alpha.pnml,0.44437048579810323,0.2661414154892451,0.4424139930634411,0.2661372115855733,22
C:\projects\python\Anda\resources\logs\Sepsis_40000_ABSENCE_0.2_3.xes,C:\projects\python\Anda\resources\logs\Sepsis_40000.xes,C:\projects\python\Anda\resources\models\Sepsis_40000_ABSENCE_0.2_3_heuristics.pnml,0.7139615634359494,0.8971137013734091,0.7030841451280746,0.8971207577304388,107
C:\projects\python\Anda\resources\logs\Sepsis_40000_ABSENCE_0.2_3.xes,C:\projects\python\Anda\resources\logs\Sepsis_40000.xes,C:\projects\python\Anda\resources\models\Sepsis_40000_ABSENCE_0.2_3_inductive.pnml,0.2504242836716454,1.0,0.24730232547052877,1.0,95
C:\projects\python\Anda\resources\logs\BPIC2012_4000_MIXED_1.0_1.xes,C:\projects\python\Anda\resources\logs\BPIC2012_4000.xes,C:\projects\python\Anda\resources\models\BPIC2012_4000_MIXED_1.0_1_alpha.pnml,0.07403979639055991,0.33459435905898627,0.0,0.33449754858549036,48
C:\projects\python\Anda\resources\logs\BPIC2012_4000_MIXED_1.0_1.xes,C:\projects\python\Anda\resources\logs\BPIC2012_4000.xes,C:\projects\python\Anda\resources\models\BPIC2012_4000_MIXED_1.0_1_heuristics.pnml,0.26410128831630386,0.9807132280604673,0.21396091794899097,0.9808027216304335,146
C:\projects\python\Anda\resources\logs\BPIC2012_4000_MIXED_1.0_1.xes,C:\projects\python\Anda\resources\logs\BPIC2012_4000.xes,C:\projects\python\Anda\resources\models\BPIC2012_4000_MIXED_1.0_1_inductive.pnml,0.09093768011566039,1.0,0.07288993294424506,1.0,206
C:\projects\python\Anda\resources\logs\RTFMS_100000_INSERTION_1.0_5.xes,C:\projects\python\Anda\resources\logs\RTFMS_100000.xes,C:\projects\python\Anda\resources\models\RTFMS_100000_INSERTION_1.0_5_alpha.pnml,0.2898020443214918,0.4204503022945949,0.0012345679012345512,0.42106947951632984,485
C:\projects\python\Anda\resources\logs\RTFMS_100000_INSERTION_1.0_5.xes,C:\projects\python\Anda\resources\logs\RTFMS_100000.xes,C:\projects\python\Anda\resources\models\RTFMS_100000_INSERTION_1.0_5_heuristics.pnml,0.9935986324109534,0.9473356787545548,0.014226655817981215,0.9476633276303723,598
C:\projects\python\Anda\resources\logs\RTFMS_100000_INSERTION_1.0_5.xes,C:\projects\python\Anda\resources\logs\RTFMS_100000.xes,C:\projects\python\Anda\resources\models\RTFMS_100000_INSERTION_1.0_5_inductive.pnml,0.3843248974366863,1.0,0.016471428933517274,1.0,608
C:\projects\python\Anda\resources\logs\RTFMS_100000_INSERTION_4.0_4.xes,C:\projects\python\Anda\resources\logs\RTFMS_100000.xes,C:\projects\python\Anda\resources\models\RTFMS_100000_INSERTION_4.0_4_alpha.pnml,0.2801651499556337,0.41925076786839244,0.00031152647975074554,0.42174467535506976,1849
C:\projects\python\Anda\resources\logs\RTFMS_100000_INSERTION_4.0_4.xes,C:\projects\python\Anda\resources\logs\RTFMS_100000.xes,C:\projects\python\Anda\resources\models\RTFMS_100000_INSERTION_4.0_4_heuristics.pnml,0.9909648294206812,0.943650333337518,0.003799380865973312,0.9453171414874995,2058
C:\projects\python\Anda\resources\logs\RTFMS_100000_INSERTION_4.0_4.xes,C:\projects\python\Anda\resources\logs\RTFMS_100000.xes,C:\projects\python\Anda\resources\models\RTFMS_100000_INSERTION_4.0_4_inductive.pnml,0.36506892092821464,1.0,0.004368751123350112,1.0,1972
C:\projects\python\Anda\resources\logs\BPIC2012_4000_MIXED_4.0_2.xes,C:\projects\python\Anda\resources\logs\BPIC2012_4000.xes,C:\projects\python\Anda\resources\models\BPIC2012_4000_MIXED_4.0_2_alpha.pnml,0.18468764609630672,0.2107648380725074,0.009803921568627416,0.21046329068292097,76
C:\projects\python\Anda\resources\logs\BPIC2012_4000_MIXED_4.0_2.xes,C:\projects\python\Anda\resources\logs\BPIC2012_4000.xes,C:\projects\python\Anda\resources\models\BPIC2012_4000_MIXED_4.0_2_heuristics.pnml,0.29113835338767413,0.9821017618884794,0.1620796947099732,0.9826286994818655,190
C:\projects\python\Anda\resources\logs\BPIC2012_4000_MIXED_4.0_2.xes,C:\projects\python\Anda\resources\logs\BPIC2012_4000.xes,C:\projects\python\Anda\resources\models\BPIC2012_4000_MIXED_4.0_2_inductive.pnml,0.09427691920684078,1.0,0.04659966347940314,1.0,271
C:\projects\python\Anda\resources\logs\BPIC2012_20000_SUBSTITUTION_1.0_2.xes,C:\projects\python\Anda\resources\logs\BPIC2012_20000.xes,C:\projects\python\Anda\resources\models\BPIC2012_20000_SUBSTITUTION_1.0_2_alpha.pnml,0.23931012094525417,0.2834395849227256,0.0,0.28324686193956083,147
C:\projects\python\Anda\resources\logs\BPIC2012_20000_SUBSTITUTION_1.0_2.xes,C:\projects\python\Anda\resources\logs\BPIC2012_20000.xes,C:\projects\python\Anda\resources\models\BPIC2012_20000_SUBSTITUTION_1.0_2_heuristics.pnml,0.4334442349684815,0.9697759930179284,0.1376914835704106,0.9698923436323592,268
C:\projects\python\Anda\resources\logs\BPIC2012_20000_SUBSTITUTION_1.0_2.xes,C:\projects\python\Anda\resources\logs\BPIC2012_20000.xes,C:\projects\python\Anda\resources\models\BPIC2012_20000_SUBSTITUTION_1.0_2_inductive.pnml,0.10350601678229199,1.0,0.034003696318596566,1.0,418
C:\projects\python\Anda\resources\logs\BPIC2012_10000_ORDERING_4.0_4.xes,C:\projects\python\Anda\resources\logs\BPIC2012_10000.xes,C:\projects\python\Anda\resources\models\BPIC2012_10000_ORDERING_4.0_4_alpha.pnml,0.25043577857014465,0.21456440697022988,0.04166666666666663,0.21455282308704332,39
C:\projects\python\Anda\resources\logs\BPIC2012_10000_ORDERING_4.0_4.xes,C:\projects\python\Anda\resources\logs\BPIC2012_10000.xes,C:\projects\python\Anda\resources\models\BPIC2012_10000_ORDERING_4.0_4_heuristics.pnml,0.3886378815502085,0.980096986824404,0.28090998304296233,0.9807605499137572,141
C:\projects\python\Anda\resources\logs\BPIC2012_10000_ORDERING_4.0_4.xes,C:\projects\python\Anda\resources\logs\BPIC2012_10000.xes,C:\projects\python\Anda\resources\models\BPIC2012_10000_ORDERING_4.0_4_inductive.pnml,0.2029637747707066,0.9912890046253244,0.09370592771214725,0.9912829504780276,121
C:\projects\python\Anda\resources\logs\BPIC2012_20000_ABSENCE_1.0_1.xes,C:\projects\python\Anda\resources\logs\BPIC2012_20000.xes,C:\projects\python\Anda\resources\models\BPIC2012_20000_ABSENCE_1.0_1_alpha.pnml,0.06450284939379758,0.5523249065489297,0.032258064516129004,0.5527851248894246,37
C:\projects\python\Anda\resources\logs\BPIC2012_20000_ABSENCE_1.0_1.xes,C:\projects\python\Anda\resources\logs\BPIC2012_20000.xes,C:\projects\python\Anda\resources\models\BPIC2012_20000_ABSENCE_1.0_1_heuristics.pnml,0.3352181464345686,0.9754052285076871,0.30439560808075583,0.9754598403464698,132
C:\projects\python\Anda\resources\logs\BPIC2012_20000_ABSENCE_1.0_1.xes,C:\projects\python\Anda\resources\logs\BPIC2012_20000.xes,C:\projects\python\Anda\resources\models\BPIC2012_20000_ABSENCE_1.0_1_inductive.pnml,0.12332324714539233,0.958826986748612,0.09138853630202681,0.9588321095394872,121
C:\projects\python\Anda\resources\logs\RTFMS_4000_INSERTION_10.0_1.xes,C:\projects\python\Anda\resources\logs\RTFMS_4000.xes,C:\projects\python\Anda\resources\models\RTFMS_4000_INSERTION_10.0_1_alpha.pnml,0.290359799214738,0.4792106753711365,0.005165612774043815,0.4863618152995527,189
C:\projects\python\Anda\resources\logs\RTFMS_4000_INSERTION_10.0_1.xes,C:\projects\python\Anda\resources\logs\RTFMS_4000.xes,C:\projects\python\Anda\resources\models\RTFMS_4000_INSERTION_10.0_1_heuristics.pnml,0.9867335257909972,0.9422503400521518,0.03154190572963589,0.9463784544752699,284
C:\projects\python\Anda\resources\logs\RTFMS_4000_INSERTION_10.0_1.xes,C:\projects\python\Anda\resources\logs\RTFMS_4000.xes,C:\projects\python\Anda\resources\models\RTFMS_4000_INSERTION_10.0_1_inductive.pnml,0.4067091803894126,1.0,0.03069286296205076,1.0,314
C:\projects\python\Anda\resources\logs\BPIC2012_40000_ABSENCE_1.0_3.xes,C:\projects\python\Anda\resources\logs\BPIC2012_40000.xes,C:\projects\python\Anda\resources\models\BPIC2012_40000_ABSENCE_1.0_3_alpha.pnml,0.06451344719594487,0.5572562701227572,0.032258064516129004,0.5577286240106327,38
C:\projects\python\Anda\resources\logs\BPIC2012_40000_ABSENCE_1.0_3.xes,C:\projects\python\Anda\resources\logs\BPIC2012_40000.xes,C:\projects\python\Anda\resources\models\BPIC2012_40000_ABSENCE_1.0_3_heuristics.pnml,0.4179778445226091,0.9770192863839113,0.3687391161541711,0.977090508823809,126
